slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
wotai-dev/woterclip,github_plugins,plugins,L1,0.9987,0.0002,0.0001,0.0016,0.0193,6792,False
xiaobei930/cc-best,github_plugins,plugins,L2,0.8190,0.0004,0.0054,0.0028,0.0848,8192,False
shadimarahli/Claude-for-Word-Desktop,github_plugins,plugins,L3,0.8421,0.0073,0.6652,0.0041,0.0455,3744,False
beingsmit/technical-product-gtm,github_plugins,plugins,L0,0.9975,0.0008,0.0009,0.0003,0.0012,4892,False
Yusuke710/manim-skill,github_plugins,plugins,L1,0.9948,0.0001,0.0003,0.0002,0.0081,1738,False
udapy/rust-agentic-skills,github_plugins,plugins,L1,0.9554,0.0002,0.0009,0.0009,0.0122,4696,False
MissingPackage/gitgud,github_plugins,plugins,L2,0.9885,0.0045,0.2755,0.0069,0.5271,8192,False
3spky5u-oss/HandsOn,github_plugins,plugins,L2,0.8401,0.0028,0.0117,0.0078,0.0193,8192,False
hemangjoshi37a/claude-code-frontend-dev,github_plugins,plugins,L1,0.9920,0.0004,0.0005,0.0003,0.0089,8192,False
sageox/ox,github_plugins,plugins,L3,0.9986,0.0154,0.9948,0.0087,0.9215,4014,False
ForteScarlet/codex-kkp,github_plugins,plugins,L2,0.9567,0.0009,0.0345,0.0041,0.1466,6977,False
vibesurf-ai/claude-surf,github_plugins,plugins,L2,0.9909,0.0005,0.0003,0.0088,0.8990,4477,False
softaworks/gepetto,github_plugins,plugins,L1,0.9902,0.0002,0.0004,0.0009,0.0032,8192,False
OutlineDriven/odin-claude-plugin,github_plugins,plugins,L2,0.9840,0.0024,0.0755,0.0029,0.9040,8192,False
kepano-obsidian-skills,claudemarketplaces,plugins,L1,0.9731,0.0003,0.0003,0.0021,0.0088,2551,False
dailydotdev-daily,claudemarketplaces,plugins,L0,0.9805,0.0002,0.0003,0.0003,0.0105,8192,False
othmanadi-planning-with-files,claudemarketplaces,plugins,L1,0.9997,0.0012,0.0002,0.0002,0.0226,8192,False
k-dense-ai-claude-scientific-skills,claudemarketplaces,plugins,L1,0.9970,0.0002,0.0008,0.0004,0.3569,8192,False
jarrodwatts-claude-hud,claudemarketplaces,plugins,L1,0.9917,0.0003,0.0002,0.0005,0.0158,8192,False
voltagent-awesome-claude-code-subagents,claudemarketplaces,plugins,L1,0.7276,0.0005,0.0086,0.0012,0.0888,8192,False
pbakaus-impeccable,claudemarketplaces,plugins,L1,0.9797,0.0002,0.0006,0.0002,0.0007,8192,False
muratcankoylan-agent-skills-for-context-engineering,claudemarketplaces,plugins,L1,0.9941,0.0001,0.0007,0.0007,0.0132,8192,False
jimliu-baoyu-skills,claudemarketplaces,plugins,L1,0.9983,0.0001,0.0002,0.0005,0.0105,8192,False
everyinc-compound-engineering-plugin,claudemarketplaces,plugins,L2,0.9963,0.0034,0.0050,0.0034,0.7603,8192,False
anthropics-knowledge-work-plugins,claudemarketplaces,plugins,L0,0.9996,0.0004,0.0010,0.0004,0.0033,6159,False
huggingface-skills,claudemarketplaces,plugins,L1,0.9949,0.0001,0.0001,0.0003,0.0067,8192,False
alirezarezvani-claude-skills,claudemarketplaces,plugins,L2,0.8694,0.0009,0.0801,0.0009,0.6434,8192,False
