slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
dnvriend-ollama-deepseek-ocr-tool,claudemarketplaces,plugins,0.0276,0,4002,False
oakensoul-aida-marketplace,claudemarketplaces,plugins,0.0000,0,1664,False
byunk-claude-code-toolkit,claudemarketplaces,plugins,0.0000,0,997,False
twinpeakstownie-reachy-mini-plugin,claudemarketplaces,plugins,0.0008,0,6000,False
krmcbride-claude-plugins,claudemarketplaces,plugins,0.0000,0,5049,False
samber-cc,claudemarketplaces,plugins,0.0026,0,1015,False
ulasbilgen-mcp-skills-plugins,claudemarketplaces,plugins,0.0000,0,5177,False
hugoduncan-library-skills,claudemarketplaces,plugins,0.0000,0,6000,False
mgomes-3xo-suit,claudemarketplaces,plugins,0.0001,0,174,False
phaezer-claude-mkt,claudemarketplaces,plugins,0.0000,0,6000,False
mgiovani-cc-arsenal,claudemarketplaces,plugins,0.0002,0,2901,False
alvis-.claude,claudemarketplaces,plugins,0.0000,0,94,False
bcasci-hustler-marketplace,claudemarketplaces,plugins,0.0000,0,1902,False
xtone-ai_development_tools,claudemarketplaces,plugins,0.0000,0,4234,False
slamb2k-mad-skills,claudemarketplaces,plugins,0.0000,0,6000,False
c0ntr0lledcha0s-claude-code-plugin-automations,claudemarketplaces,plugins,0.0002,0,6000,False
rebuy-de-rebuy-go-sdk,claudemarketplaces,plugins,0.0000,0,2221,False
jontsai-claude-plugins,claudemarketplaces,plugins,0.0001,0,2145,False
nprbst-speck,claudemarketplaces,plugins,0.0001,0,6000,False
vanman2024-domain-plugin-builder,claudemarketplaces,plugins,0.0000,0,6000,False
ce-dot-net-ce-claude-marketplace,claudemarketplaces,plugins,0.0036,0,6000,False
mrclrchtr-cc-marketplace,claudemarketplaces,plugins,0.0000,0,1386,False
priyanshujain-claude-coding,claudemarketplaces,plugins,0.0000,0,2640,False
ronileor-specweaver,claudemarketplaces,plugins,0.0016,0,6000,False
ingpoc-claude-code-plugins-marketplace,claudemarketplaces,plugins,0.0006,0,6000,False
code-yeongyu-cc-plus,claudemarketplaces,plugins,0.0001,0,3557,False
cdcore09-holoviz-claude,claudemarketplaces,plugins,0.0000,0,6000,False
engineerwithai-engineerwith-agents,claudemarketplaces,plugins,0.0000,0,6000,False
rbonestell-hyperclaude-nano,claudemarketplaces,plugins,0.0061,0,6000,False
sebastienlevert-m365-copilot-skills,claudemarketplaces,plugins,0.0000,0,3047,False
bokuhe-claude-duet,claudemarketplaces,plugins,0.0000,0,3775,False
wkh237-tmux-team,claudemarketplaces,plugins,0.0000,0,5354,False
prateekmedia-agent-skills,claudemarketplaces,plugins,0.0000,0,77,False
trancong12102-ccc,claudemarketplaces,plugins,0.0000,0,3645,False
ctrlshiftbryan-chrome-devtools-mcp,claudemarketplaces,plugins,0.0001,0,6000,False
chekos-bns-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
dionridley-claude-plugins,claudemarketplaces,plugins,0.0000,0,3424,False
shakestzd-htmlgraph,claudemarketplaces,plugins,0.0001,0,6000,False
julep-ai-vibesafe,claudemarketplaces,plugins,0.0000,0,6000,False
rlcurrall-aide,claudemarketplaces,plugins,0.0000,0,6000,False
hyperskill-claude-code-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
jawhnycooke-claude-code-nano-banana,claudemarketplaces,plugins,0.0000,0,2208,False
ascorbic-skills,claudemarketplaces,plugins,0.0001,0,471,False
extremeclarity-claude-plugins,claudemarketplaces,plugins,0.0000,0,750,False
pokutuna-claude-plugins,claudemarketplaces,plugins,0.0000,0,2499,False
zeero-dotfiles,claudemarketplaces,plugins,0.0084,0,2804,False
sahib-sawhney-wh-sahibs-claude-plugin-marketplace,claudemarketplaces,plugins,0.0035,0,3636,False
davistroy-claude-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
pluginagentmarketplace-custom-plugin-technical-writer,claudemarketplaces,plugins,0.6418,1,6000,False
akiojin-gwt,claudemarketplaces,plugins,0.0000,0,4705,False
hiroshi75-ccplugins,claudemarketplaces,plugins,0.0000,0,491,False
willyt3hwhale-cc-limit-guard,claudemarketplaces,plugins,0.0001,0,2342,False
brkalow-openctl,claudemarketplaces,plugins,0.0000,0,4139,False
dannycoates-cc-allow,claudemarketplaces,plugins,0.0001,0,6000,False
peabody124-reproducible_agent_environment,claudemarketplaces,plugins,0.0000,0,6000,False
namishsaxena-lore,claudemarketplaces,plugins,0.0000,0,6000,False
jmichaelschmidt-skills-public,claudemarketplaces,plugins,0.0000,0,5380,False
ksk-incom-macinventory,claudemarketplaces,plugins,0.0047,0,6000,False
shikihane-polydev,claudemarketplaces,plugins,0.0010,0,663,False
renatillas-gleam,claudemarketplaces,plugins,0.0000,0,6000,False
benredmond-apex,claudemarketplaces,plugins,0.0100,0,6000,False
basaltbytes-agentic-tools,claudemarketplaces,plugins,0.0000,0,2880,False
samtalki-agentrepl.jl,claudemarketplaces,plugins,0.0003,0,109,False
telvokdev-librarian,claudemarketplaces,plugins,0.0091,0,5299,False
ivankristianto-k2-dev,claudemarketplaces,plugins,0.0000,0,6000,False
kinneyyan-prompts,claudemarketplaces,plugins,0.0001,0,5529,False
ivanlutsenko-awac-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
xiaolfeng-claude-marketplace,claudemarketplaces,plugins,0.0002,0,696,False
somtougeh-somto-dev-toolkit,claudemarketplaces,plugins,0.0001,0,4072,False
pluginagentmarketplace-custom-plugin-nextjs,claudemarketplaces,plugins,0.7155,1,5735,False
pitchlab-founder-support-system,claudemarketplaces,plugins,0.0000,0,6000,False
cameronapak-bknd-skills,claudemarketplaces,plugins,0.0001,0,1234,False
harlan-zw-harlan-claude-code,claudemarketplaces,plugins,0.0029,0,2738,False
aojdevstudio-dev-utils-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
ken2403-claude-paralell-dev-plugin,claudemarketplaces,plugins,0.0000,0,6000,False
funkyoz-funkyoz-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
tagoro9-dotfiles,claudemarketplaces,plugins,0.0001,0,4951,False
krakend-claude-code-plugin,claudemarketplaces,plugins,0.0004,0,6000,False
bastos-ruby-plugin-marketplace,claudemarketplaces,plugins,0.0000,0,1766,False
pluginagentmarketplace-custom-plugin-nodejs,claudemarketplaces,plugins,0.6631,1,6000,False
ethanshoedev-oxc-lsp-claude-plugin,claudemarketplaces,plugins,0.0000,0,2664,False
startvibe-startvibe-cc-marketplace,claudemarketplaces,plugins,0.0011,0,3504,False
marketcalls-openalgo-claude-plugin,claudemarketplaces,plugins,0.0000,0,4255,False
amondnet-claude-plugins,claudemarketplaces,plugins,0.0002,0,483,False
saharcarmel-sahar-claude-code-marketplace,claudemarketplaces,plugins,0.0000,0,3481,False
bendrucker-claude-code-agents-md,claudemarketplaces,plugins,0.0000,0,3241,False
vanman2024-planning-marketplace,claudemarketplaces,plugins,0.0000,0,1860,False
gbasin-figma-to-react,claudemarketplaces,plugins,0.0000,0,6000,False
adlsdztony-claude-marketplace,claudemarketplaces,plugins,0.0004,0,478,False
pythoninthegrasses-cli-ninja,claudemarketplaces,plugins,0.0000,0,6000,False
jacobpevans-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
pluginagentmarketplace-custom-plugin-system-design,claudemarketplaces,plugins,0.6961,1,6000,False
metalama-metalama.ai.skills,claudemarketplaces,plugins,0.0015,0,6000,False
diversioteam-agent-skills-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
anthonykazyaka-plugin-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
piotr1215-aiverse,claudemarketplaces,plugins,0.0001,0,3449,False
gfsaaser24-feelsclaudeman,claudemarketplaces,plugins,0.0219,0,6000,False
enviodev-envio-plugins,claudemarketplaces,plugins,0.0000,0,2830,False
kongdd-skills_for_your_ai_student,claudemarketplaces,plugins,0.0113,0,1240,False
fiftyk-cc-plugins-market,claudemarketplaces,plugins,0.0003,0,3458,False
oxidecomputer-claude-plugins,claudemarketplaces,plugins,0.0000,0,1655,False
keremk-renku,claudemarketplaces,plugins,0.0091,0,5778,False
musingfox-cc-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
opensaasau-stack,claudemarketplaces,plugins,0.0002,0,6000,False
tenzir-claude-plugins,claudemarketplaces,plugins,0.0011,0,322,False
nibzard-skills-kit,claudemarketplaces,plugins,0.0001,0,6000,False
raisiqueira-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,5204,False
richard-gyiko-data-wrangler-plugin,claudemarketplaces,plugins,0.0000,0,3431,False
ilyannn-claude-commands,claudemarketplaces,plugins,0.0000,0,1026,False
joel611-claude-plugins,claudemarketplaces,plugins,0.0000,0,2712,False
mpuig-threads,claudemarketplaces,plugins,0.0000,0,4386,False
lisaross-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,2708,False
foundry-works-claude-foundry,claudemarketplaces,plugins,0.0000,0,6000,False
phenoml-phenoml-skills,claudemarketplaces,plugins,0.0000,0,1795,False
macgregor-claude-code-toolbox,claudemarketplaces,plugins,0.0000,0,1524,False
cakecrusher-ace_service,claudemarketplaces,plugins,0.0000,0,6000,False
dnvriend-gemini-nano-banana-tool,claudemarketplaces,plugins,0.8342,1,6000,False
nice-wolf-studio-wolf-skills-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
kenryu42-cc-marketplace,claudemarketplaces,plugins,0.0000,0,659,False
hhopkins95-agent-runtime,claudemarketplaces,plugins,0.0000,0,5521,False
mustafaakben-outlook-suite-plugin,claudemarketplaces,plugins,0.0000,0,4148,False
raw-labs-raw-labs-claude-marketplace,claudemarketplaces,plugins,0.0000,0,2306,False
akougkas-claude-code-4-science,claudemarketplaces,plugins,0.0130,0,6000,False
ekusiadadus-claude-skill-gtm-javascript,claudemarketplaces,plugins,0.0002,0,5594,False
jsnnmsc-claude-code-learning-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
jxmullins-stash-pad,claudemarketplaces,plugins,0.0020,0,4284,False
lhohan-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,2341,False
imalsogreg-vibelearning,claudemarketplaces,plugins,0.0001,0,1139,False
cheftoan-stackcraft-copilot,claudemarketplaces,plugins,0.0001,0,6000,False
naporin0624-claude-web-audit-plugins,claudemarketplaces,plugins,0.0000,0,4519,False
datarecce-recce-claude-plugin,claudemarketplaces,plugins,0.0000,0,2685,False
vindicatenyc-build-in-public-plugin,claudemarketplaces,plugins,0.0000,0,5906,False
tan-yong-sheng-triliumnext-skills,claudemarketplaces,plugins,0.0000,0,1803,False
altic-dev-envault,claudemarketplaces,plugins,0.0002,0,6000,False
hyperb1iss-moonrepo-skill,claudemarketplaces,plugins,0.9937,1,6000,False
pluginagentmarketplace-custom-plugin-linux,claudemarketplaces,plugins,0.7236,1,6000,False
pengelbrecht-ticker,claudemarketplaces,plugins,0.0000,0,4369,False
flemx-agentforce-playground-claude-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
hosungyou-diverga,claudemarketplaces,plugins,0.0000,0,6000,False
umbraco-umbraco-mcp-base,claudemarketplaces,plugins,0.0000,0,4581,False
hugoduncan-mcp-vector-search,claudemarketplaces,plugins,0.0001,0,6000,False
rikdc-claude_code_template,claudemarketplaces,plugins,0.0000,0,5886,False
tilmon-engineering-claude-skills,claudemarketplaces,plugins,0.0000,0,2766,False
appmeee-clawfreelance,claudemarketplaces,plugins,0.0007,0,3845,False
mineru98-notebooklm-skills,claudemarketplaces,plugins,0.0002,0,2424,False
swannysec-context-keeper,claudemarketplaces,plugins,0.0000,0,6000,False
breddin-claude-flow-baseline,claudemarketplaces,plugins,0.0759,0,6000,False
plosson-agentio,claudemarketplaces,plugins,0.0000,0,6000,False
zjfls-zhoujie-claude-skills,claudemarketplaces,plugins,0.0004,0,1256,False
sjawhar-dotfiles,claudemarketplaces,plugins,0.0006,0,545,False
denisraison-claude-plugins,claudemarketplaces,plugins,0.0000,0,47,False
cmungall-lakehouse-skills,claudemarketplaces,plugins,0.0000,0,2595,False
s-hiraoku-synapse-a2a,claudemarketplaces,plugins,0.0003,0,6000,False
kastheco-claude-plugins,claudemarketplaces,plugins,0.0000,0,1174,False
agent-sh-enhance,claudemarketplaces,plugins,0.0000,0,6000,False
svengraziani-ui-design,claudemarketplaces,plugins,0.0000,0,1894,False
omriariav-omri-cc-stuff,claudemarketplaces,plugins,0.0000,0,6000,False
clix-so-clix-mcp-server,claudemarketplaces,plugins,0.0002,0,4175,False
krzemienski-shannon-framework,claudemarketplaces,plugins,0.0008,0,6000,False
andreahlert-scope-guard,claudemarketplaces,plugins,0.0009,0,6000,False
cryptoquantofficial-cryptoquant-skills,claudemarketplaces,plugins,0.0019,0,5479,False
cfcommunity-llm-marketplace,claudemarketplaces,plugins,0.0000,0,1802,False
itzsaga-cc-prd,claudemarketplaces,plugins,0.0000,0,4877,False
byheaven-byheaven-skills,claudemarketplaces,plugins,0.0000,0,1167,False
penkzhou-swiss-army-knife-plugin,claudemarketplaces,plugins,0.0000,0,1155,False
devkade-collaborator,claudemarketplaces,plugins,0.0000,0,2869,False
haomingz-skills,claudemarketplaces,plugins,0.0012,0,5162,False
jclfocused-claude-agents,claudemarketplaces,plugins,0.0000,0,40,False
slamb2k-agent-smith,claudemarketplaces,plugins,0.0000,0,6000,False
cinderzhang-driver-plugin,claudemarketplaces,plugins,0.0003,0,6000,False
docutray-docutray-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,3758,False
alexander-akhmetov-programmator,claudemarketplaces,plugins,0.0004,0,6000,False
witt3rd-claude-plugins,claudemarketplaces,plugins,0.0003,0,1215,False
kjgarza-marketplace-claude,claudemarketplaces,plugins,0.0000,0,3161,False
britt-claude-code-skills,claudemarketplaces,plugins,0.0001,0,6000,False
jbabin91-super-claude,claudemarketplaces,plugins,0.0000,0,6000,False
adnanmueller-am-dev-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
gsornsen-mycelium,claudemarketplaces,plugins,0.0001,0,6000,False
bcastelino-agent-skills-kit,claudemarketplaces,plugins,0.0018,0,6000,False
agent-sh-perf,claudemarketplaces,plugins,0.0000,0,6000,False
tundraray-overture,claudemarketplaces,plugins,0.0005,0,6000,False
rand-disciplined-process-plugin,claudemarketplaces,plugins,0.0000,0,6000,False
hculap-better-code,claudemarketplaces,plugins,0.0002,0,5384,False
feed-mob-claude-code-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
semgrep-mcp-marketplace,claudemarketplaces,plugins,0.0000,0,1191,False
azu-claude-code-plugins,claudemarketplaces,plugins,0.0002,0,708,False
verygoodplugins-claude-plugins,claudemarketplaces,plugins,0.0000,0,5715,False
skellorok-appsec-audit,claudemarketplaces,plugins,0.0000,0,6000,False
emillindfors-claude-marketplace,claudemarketplaces,plugins,0.0006,0,1760,False
christowles-towles-tool,claudemarketplaces,plugins,0.0000,0,6000,False
hotvect-hotvect,claudemarketplaces,plugins,0.0000,0,4936,False
open-horizon-labs-bottle,claudemarketplaces,plugins,0.0000,0,6000,False
markphelps-claude-plugins,claudemarketplaces,plugins,0.0000,0,1378,False
mastra-ai-infinite-moves,claudemarketplaces,plugins,0.0003,0,4212,False
lucasilverentand-skills,claudemarketplaces,plugins,0.0000,0,74,False
nalyk-nalyk-skills-demo,claudemarketplaces,plugins,0.0000,0,6000,False
kangminhyuk1111-agents,claudemarketplaces,plugins,0.0000,0,3718,False
siiichenggg-claude-hud-glm,claudemarketplaces,plugins,0.0001,0,6000,False
hellblazer-hal-9000,claudemarketplaces,plugins,0.0012,0,6000,False
chmouel-claude-code-plugins,claudemarketplaces,plugins,0.0001,0,6000,False
attuned-corp-skills,claudemarketplaces,plugins,0.0000,0,3652,False
kerdofficial-claude-debug-mode,claudemarketplaces,plugins,0.0006,0,2444,False
eladariel-pseudo-code-prompting-plugin,claudemarketplaces,plugins,0.0000,0,6000,False
jarvusinnovations-claude-assist,claudemarketplaces,plugins,0.0000,0,3902,False
vanman2024-dev-lifecycle-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
muheun-claude-code-marketplace,claudemarketplaces,plugins,0.0000,0,70,False
eduardoarantes-claude-code-plugin-marketplace,claudemarketplaces,plugins,0.0000,0,5755,False
jkoelker-zephyr,claudemarketplaces,plugins,0.0000,0,697,False
mnthe-hardworker-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
legout-flowerpower-skill,claudemarketplaces,plugins,0.0000,0,6000,False
pluginagentmarketplace-custom-plugin-android,claudemarketplaces,plugins,0.7585,1,6000,False
oalders-kitchen-sink,claudemarketplaces,plugins,0.0002,0,6000,False
ahmedxx99-claude-code-elixir,claudemarketplaces,plugins,0.0002,0,4855,False
rylaa-claude-agent-workflows,claudemarketplaces,plugins,0.0000,0,5348,False
clementwalter-rookie-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
tasanakorn-cc-marketplace,claudemarketplaces,plugins,0.0000,0,1481,False
masup9-codex-collab,claudemarketplaces,plugins,0.0007,0,6000,False
caseywebb-elm-claude-plugin,claudemarketplaces,plugins,0.0000,0,2116,False
crathgeb-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,783,False
pluginagentmarketplace-custom-plugin-product-manager,claudemarketplaces,plugins,0.7074,1,6000,False
gemgalawala-telecom-ops-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,4501,False
zenterflow-claude-priority,claudemarketplaces,plugins,0.0000,0,5254,False
konradmichalik-md-annotator,claudemarketplaces,plugins,0.0003,0,6000,False
jo-minjun-claude-devkit,claudemarketplaces,plugins,0.0003,0,1924,False
rkaushik29-claude-correct-habits,claudemarketplaces,plugins,0.0138,0,1483,False
full-stack-biz-claude-dev-flow,claudemarketplaces,plugins,0.0000,0,6000,False
horuz-ai-claude-plugins,claudemarketplaces,plugins,0.0003,0,515,False
vibeforge1111-vibeship-plugin,claudemarketplaces,plugins,0.0003,0,4052,False
macroman5-claude-code-workflow-plugins,claudemarketplaces,plugins,0.0109,0,6000,False
rawwerks-ralph-eats-beads,claudemarketplaces,plugins,0.0000,0,4125,False
lttr-claude-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
doubleslashse-claude-marketplace,claudemarketplaces,plugins,0.0000,0,2932,False
williavs-charm-dev-skill-marketplace,claudemarketplaces,plugins,0.0000,0,1729,False
mh4gf-shared-config,claudemarketplaces,plugins,0.0000,0,3756,False
million-views-skills,claudemarketplaces,plugins,0.0000,0,1404,False
propstreet-claude-powerpack,claudemarketplaces,plugins,0.0001,0,6000,False
laris-co-nat-agents-core,claudemarketplaces,plugins,0.0001,0,2876,False
jamsajones-claude-squad,claudemarketplaces,plugins,0.0001,0,6000,False
pluginagentmarketplace-custom-plugin-php,claudemarketplaces,plugins,0.7211,1,6000,False
ccam80-thesis-writer,claudemarketplaces,plugins,0.0000,0,3320,False
huntsyea-product-skills,claudemarketplaces,plugins,0.0000,0,6000,False
citadelgrad-scott-cc,claudemarketplaces,plugins,0.0000,0,5992,False
wayne930242-team-toon-tack,claudemarketplaces,plugins,0.0001,0,6000,False
andvl1-claude-plugin,claudemarketplaces,plugins,0.0000,0,4609,False
dbmcco-tmux-beads-loops,claudemarketplaces,plugins,0.0000,0,5756,False
pluginagentmarketplace-custom-plugin-cloudflare,claudemarketplaces,plugins,0.7027,1,6000,False
alexeldeib-clode,claudemarketplaces,plugins,0.0000,0,1194,False
sejas-ai-code-skills,claudemarketplaces,plugins,0.0000,0,2295,False
rhavekost-author-toolkit,claudemarketplaces,plugins,0.0000,0,3010,False
gannonh-kata-marketplace,claudemarketplaces,plugins,0.0001,0,425,False
tontoko-fast-playwright-skill,claudemarketplaces,plugins,0.0000,0,3724,False
alexhholmes-skills,claudemarketplaces,plugins,0.0000,0,13,False
sjawhar-pivot,claudemarketplaces,plugins,0.0000,0,6000,False
pc035860-skill-output-style-to-plugin,claudemarketplaces,plugins,0.0000,0,2953,False
dunc4nj-entropy-plugins,claudemarketplaces,plugins,0.0000,0,3663,False
kalyanikhandare29-agent-skills-for-context-engineering,claudemarketplaces,plugins,0.0001,0,4812,False
vinothpandian-v-marketplace,claudemarketplaces,plugins,0.0000,0,1407,False
pluginagentmarketplace-custom-plugin-cyber-security,claudemarketplaces,plugins,0.8391,1,6000,False
slowth-kim-slowth-agents,claudemarketplaces,plugins,0.0000,0,1707,False
michelabboud-claude-code,claudemarketplaces,plugins,0.0016,0,2654,False
etdofresh-claude-marketplace,claudemarketplaces,plugins,0.0000,0,44,False
kanopi-claude-toolbox,claudemarketplaces,plugins,0.0004,0,4661,False
15195999826-lomomarketplace,claudemarketplaces,plugins,0.0002,0,3555,False
thepushkarp-cc-codex-plugin,claudemarketplaces,plugins,0.0002,0,3580,False
dhughes-claude-marketplace,claudemarketplaces,plugins,0.0000,0,4645,False
asynkron-asynkron.githubclix,claudemarketplaces,plugins,0.0000,0,110,False
martin-janci-claude-marketplace,claudemarketplaces,plugins,0.0000,0,1137,False
saaip7-ipdev-mobileapps-skill,claudemarketplaces,plugins,0.0000,0,2101,False
pluginagentmarketplace-custom-plugin-blockchain,claudemarketplaces,plugins,0.7641,1,6000,False
diegopherlt-dotclaudefiles,claudemarketplaces,plugins,0.0000,0,1446,False
cyberbloke9-pmp-gywd,claudemarketplaces,plugins,0.0004,0,6000,False
panguin6010-daisy-mode-plugin,claudemarketplaces,plugins,0.0000,0,2878,False
nathanonn-claude-skills-wp-abilities-api,claudemarketplaces,plugins,0.0000,0,4180,False
thecarlo-carlo-marketplace,claudemarketplaces,plugins,0.0000,0,1759,False
rahulkeerthi-expo-toolkit,claudemarketplaces,plugins,0.0000,0,6000,False
oskar-dragon-claude-code,claudemarketplaces,plugins,0.0000,0,2359,False
nbarthel-claudy,claudemarketplaces,plugins,0.0000,0,6000,False
hiragram-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,3016,False
jackscammell-parliament-of-chaos,claudemarketplaces,plugins,0.0001,0,6000,False
ohadrubin-skills,claudemarketplaces,plugins,0.0000,0,2057,False
codehakase-shelby-skills,claudemarketplaces,plugins,0.0000,0,2011,False
moshpitcodes-moshpitcodes.wsl,claudemarketplaces,plugins,0.0000,0,63,False
zorrocheng-mc-obsidian-vault-manager-plugin,claudemarketplaces,plugins,0.0003,0,6000,False
rhuss-cc-rhuss-marketplace,claudemarketplaces,plugins,0.0000,0,4679,False
krhrtky-agents,claudemarketplaces,plugins,0.0000,0,6000,False
mrstroz-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,2874,False
lordjiggy-claude-code-marketplace,claudemarketplaces,plugins,0.0019,0,4765,False
johanspannare-awesome-claude-extensions,claudemarketplaces,plugins,0.0004,0,6000,False
peerasak-u-peerasak-claude-marketplace,claudemarketplaces,plugins,0.0000,0,888,False
adawalli-claude-plugins,claudemarketplaces,plugins,0.0000,0,3639,False
yamz8-open-ceo,claudemarketplaces,plugins,0.0000,0,6000,False
jls42-leapmultix,claudemarketplaces,plugins,0.5391,1,6000,False
lionfire-core,claudemarketplaces,plugins,0.0000,0,6000,False
ibutters-claudecodeplugins,claudemarketplaces,plugins,0.0003,0,1558,False
okeysir198-p20251122-claude-skills,claudemarketplaces,plugins,0.0004,0,6000,False
geored-sre-skill,claudemarketplaces,plugins,0.0000,0,6000,False
dkmaker-my-claude-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
lorainwings-oss-uploader-skills,claudemarketplaces,plugins,0.0000,0,2982,False
avovello-cc-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
dakesan-hiro-favorite-skills,claudemarketplaces,plugins,0.0001,0,5454,False
halans-cc-marketplace-boilerplate,claudemarketplaces,plugins,0.0000,0,6000,False
nthplusio-functional-claude,claudemarketplaces,plugins,0.0002,0,6000,False
heysamtexas-claude-code-config,claudemarketplaces,plugins,0.0000,0,6000,False
betamatt-claude-plugins,claudemarketplaces,plugins,0.0001,0,49,False
b17z-sage,claudemarketplaces,plugins,0.0003,0,5890,False
anouar1991-binarypetsclaude,claudemarketplaces,plugins,0.0000,0,1843,False
tolo-coding-agent-toolkit,claudemarketplaces,plugins,0.0000,0,6000,False
jagreehal-jagreehal-claude-skills,claudemarketplaces,plugins,0.0000,0,6000,False
lepinkainen-skills,claudemarketplaces,plugins,0.0000,0,24,False
bartolli-codanna-plugins,claudemarketplaces,plugins,0.0006,0,550,False
kenkenmain-ken-cc-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
asermax-claude-plugins,claudemarketplaces,plugins,0.0000,0,1957,False
aglabo-deckrd,claudemarketplaces,plugins,0.0002,0,6000,False
delorenj-dummies-book-creative-team,claudemarketplaces,plugins,0.0000,0,3681,False
hombee-claude-plugins,claudemarketplaces,plugins,0.0000,0,1068,False
majjoha-nvim-context,claudemarketplaces,plugins,0.0000,0,3368,False
nickth3man-claude_market,claudemarketplaces,plugins,0.0000,0,4394,False
kltng-humanities-skills,claudemarketplaces,plugins,0.0000,0,3513,False
shaneholloman-beads,claudemarketplaces,plugins,0.0000,0,4349,False
p47phoenix-claude-plugins,claudemarketplaces,plugins,0.0000,0,5480,False
rawe-claude-agent-orchestrator,claudemarketplaces,plugins,0.0000,0,6000,False
telecomsxchangeapi-destinations-api-claude-plugin,claudemarketplaces,plugins,0.0000,0,6000,False
borkweb-bork-ai,claudemarketplaces,plugins,0.0000,0,1084,False
nanasess-eccube-dev-agents,claudemarketplaces,plugins,0.0001,0,1796,False
zephyrdeng-cc-plugins,claudemarketplaces,plugins,0.0007,0,1714,False
bbrowning-bbrowning-claude-marketplace,claudemarketplaces,plugins,0.0000,0,4878,False
jschulte-claude-plugins,claudemarketplaces,plugins,0.0001,0,2996,False
aldoborrero-nix-search,claudemarketplaces,plugins,0.0000,0,3754,False
cadrianmae-claude-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
hmps-claude-marketplace,claudemarketplaces,plugins,0.0003,0,1519,False
kfly8-claude-plugins,claudemarketplaces,plugins,0.0000,0,263,False
ralphbean-claude-code-plugins,claudemarketplaces,plugins,0.0000,0,2531,False
vvelikodny-velikodnys-claude-code,claudemarketplaces,plugins,0.0000,0,1558,False
inchan-claude-plugins,claudemarketplaces,plugins,0.0000,0,3392,False
dimagi-dimagi-claude-workflows,claudemarketplaces,plugins,0.0000,0,2205,False
otoshek-claude-code-toolkit,claudemarketplaces,plugins,0.0007,0,575,False
hikaruegashira-agent-skills,claudemarketplaces,plugins,0.0011,0,461,False
slamb2k-devsolo,claudemarketplaces,plugins,0.0001,0,6000,False
avaloki108-claude-flow----web3,claudemarketplaces,plugins,0.0340,0,6000,False
x-rush-claude-code-autopilot,claudemarketplaces,plugins,0.0042,0,6000,False
timbuchinger-loadout,claudemarketplaces,plugins,0.0003,0,4678,False
dnvriend-kokoro-tts-tool,claudemarketplaces,plugins,0.0047,0,6000,False
hermeticormus-floraheritage,claudemarketplaces,plugins,0.0000,0,650,False
agentic-dev-io-mcp-code-execution,claudemarketplaces,plugins,0.0001,0,6000,False
ihistand-claude-plugins,claudemarketplaces,plugins,0.0000,0,4797,False
schovi-claude-schovi,claudemarketplaces,plugins,0.0000,0,6000,False
magland-neurosift-mcps,claudemarketplaces,plugins,0.0000,0,673,False
terrylica-claude-code-skills-github-issues,claudemarketplaces,plugins,0.0004,0,6000,False
mjrskiles-vibe-hacker,claudemarketplaces,plugins,0.0000,0,3895,False
syfyufei-llm-research-marketplace,claudemarketplaces,plugins,0.0000,0,6000,False
jawhnycooke-claude-code-anime-mj,claudemarketplaces,plugins,0.0000,0,6000,False
sceleratis-claude-code-stuff,claudemarketplaces,plugins,0.0000,0,3922,False
kuse-ai-kuse-skills,claudemarketplaces,plugins,0.0000,0,5176,False
maxghenis-claude-plugins,claudemarketplaces,plugins,0.0000,0,2184,False
signalcompose-ypm,claudemarketplaces,plugins,0.0001,0,6000,False
