slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
muratcankoylan-agent-skills-for-context-engineering,claudemarketplaces,plugins,0.0002,0,6000,False
jimliu-baoyu-skills,claudemarketplaces,plugins,0.0000,0,6000,False
everyinc-compound-engineering-plugin,claudemarketplaces,plugins,0.0002,0,6000,False
anthropics-knowledge-work-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
huggingface-skills,claudemarketplaces,plugins,0.0000,0,6000,False
alirezarezvani-claude-skills,claudemarketplaces,plugins,0.0004,0,6000,False
mcp-use-mcp-use,claudemarketplaces,plugins,0.9955,1,6000,False
redpanda-data-connect,claudemarketplaces,plugins,0.0000,0,6000,False
insforge-insforge,claudemarketplaces,plugins,0.9435,1,6000,False
ykdojo-claude-code-tips,claudemarketplaces,plugins,0.0004,0,6000,False
microsoft-playwright-cli,claudemarketplaces,plugins,0.0001,0,6000,False
orchestra-research-ai-research-skills,claudemarketplaces,plugins,0.6431,1,6000,False
brainblend-ai-atomic-agents,claudemarketplaces,plugins,0.0725,0,6000,False
sawyerhood-dev-browser,claudemarketplaces,plugins,0.0015,0,5904,False
dammyjay93-interface-design,claudemarketplaces,plugins,0.0021,0,6000,False
firebase-firebase-tools,claudemarketplaces,plugins,0.0001,0,6000,False
trailofbits-skills,claudemarketplaces,plugins,0.0002,0,6000,False
max-sixty-worktrunk,claudemarketplaces,plugins,0.9891,1,6000,False
exa-labs-exa-mcp-server,claudemarketplaces,plugins,0.0085,0,6000,False
czlonkowski-n8n-skills,claudemarketplaces,plugins,0.0003,0,6000,False
pimzino-spec-workflow-mcp,claudemarketplaces,plugins,0.0074,0,6000,False
mixedbread-ai-mgrep,claudemarketplaces,plugins,0.9809,1,6000,False
langroid-langroid,claudemarketplaces,plugins,0.7514,1,6000,False
backnotprop-plannotator,claudemarketplaces,plugins,0.0618,0,6000,False
mckinsey-vizro,claudemarketplaces,plugins,0.1173,0,6000,False
davepoon-buildwithclaude,claudemarketplaces,plugins,0.0001,0,6000,False
letta-ai-claude-subconscious,claudemarketplaces,plugins,0.0074,0,6000,False
stellarlinkco-myclaude,claudemarketplaces,plugins,0.0006,0,6000,False
zeframlou-call-me,claudemarketplaces,plugins,0.0007,0,6000,False
avdlee-swiftui-agent-skill,claudemarketplaces,plugins,0.0000,0,6000,False
nyldn-claude-octopus,claudemarketplaces,plugins,0.9480,1,6000,False
jasonxudeveloper-jengine,claudemarketplaces,plugins,0.0783,0,6000,False
wirasm-prps-agentic-eng,claudemarketplaces,plugins,0.0002,0,6000,False
perplexityai-modelcontextprotocol,claudemarketplaces,plugins,0.2083,0,6000,False
modelcontextprotocol-ext-apps,claudemarketplaces,plugins,0.2647,0,6000,False
asheshgoplani-agent-deck,claudemarketplaces,plugins,0.7828,1,6000,False
apify-agent-skills,claudemarketplaces,plugins,0.0000,0,2796,False
supabase-agent-skills,claudemarketplaces,plugins,0.0000,0,3284,False
glittercowboy-taches-cc-resources,claudemarketplaces,plugins,0.0000,0,6000,False
pchalasani-claude-code-tools,claudemarketplaces,plugins,0.0034,0,5247,False
timescale-pg-aiguide,claudemarketplaces,plugins,0.0000,0,6000,False
expo-skills,claudemarketplaces,plugins,0.0001,0,1790,False
rohitg00-pro-workflow,claudemarketplaces,plugins,0.9912,1,6000,False
microsoftdocs-mcp,claudemarketplaces,plugins,0.0863,0,6000,False
appleboy-codegpt,claudemarketplaces,plugins,0.0003,0,6000,False
antonbabenko-terraform-skill,claudemarketplaces,plugins,0.0002,0,6000,False
actionbook-actionbook,claudemarketplaces,plugins,0.0099,0,6000,False
dvdsgl-claude-canvas,claudemarketplaces,plugins,0.0002,0,666,False
redplanethq-core,claudemarketplaces,plugins,0.9973,1,6000,False
feiskyer-claude-code-settings,claudemarketplaces,plugins,0.0001,0,6000,False
k-dense-ai-claude-scientific-writer,claudemarketplaces,plugins,0.0004,0,6000,False
softaworks-agent-toolkit,claudemarketplaces,plugins,0.0001,0,6000,False
avdlee-swift-concurrency-agent-skill,claudemarketplaces,plugins,0.0002,0,6000,False
cloudai-x-claude-workflow-v2,claudemarketplaces,plugins,0.0005,0,6000,False
kenryu42-claude-code-safety-net,claudemarketplaces,plugins,0.0030,0,6000,False
composiohq-awesome-claude-plugins,claudemarketplaces,plugins,0.9870,1,6000,False
raine-workmux,claudemarketplaces,plugins,0.1876,0,6000,False
udecode-dotai,claudemarketplaces,plugins,0.0066,0,5524,False
geekjourneyx-md2wechat-skill,claudemarketplaces,plugins,0.9612,1,6000,False
ryandonofrio3-osgrep,claudemarketplaces,plugins,0.0054,0,6000,False
skills-directory-skill-codex,claudemarketplaces,plugins,0.0002,0,2934,False
itsmostafa-aws-agent-skills,claudemarketplaces,plugins,0.0010,0,4728,False
openprose-prose,claudemarketplaces,plugins,0.0020,0,6000,False
actionbook-rust-skills,claudemarketplaces,plugins,0.0026,0,6000,False
mbailey-voicemode,claudemarketplaces,plugins,0.0002,0,6000,False
numman-ali-n-skills,claudemarketplaces,plugins,0.4560,0,6000,False
classmethod-tsumiki,claudemarketplaces,plugins,0.0004,0,5123,False
jarrodwatts-claude-delegator,claudemarketplaces,plugins,0.0000,0,6000,False
umputun-ralphex,claudemarketplaces,plugins,0.0414,0,6000,False
saik0s-mcp-browser-use,claudemarketplaces,plugins,0.0000,0,6000,False
bayramannakov-claude-reflect,claudemarketplaces,plugins,0.0087,0,6000,False
daymade-claude-code-skills,claudemarketplaces,plugins,0.0063,0,6000,False
neolabhq-context-engineering-kit,claudemarketplaces,plugins,0.0079,0,6000,False
charleswiltgen-axiom,claudemarketplaces,plugins,0.0000,0,2765,False
zhanghandong-makepad-skills,claudemarketplaces,plugins,0.0000,0,2154,False
brownfinesecurity-iothackbot,claudemarketplaces,plugins,0.0000,0,6000,False
team-attention-plugins-for-claude-natives,claudemarketplaces,plugins,0.0000,0,6000,False
0xdesign-design-plugin,claudemarketplaces,plugins,0.0001,0,5688,False
agent-sh-agentsys,claudemarketplaces,plugins,0.9916,1,6000,False
jezweb-claude-skills,claudemarketplaces,plugins,0.0001,0,6000,False
resciencelab-opc-skills,claudemarketplaces,plugins,0.9865,1,6000,False
cyberkaida-reverse-engineering-assistant,claudemarketplaces,plugins,0.0001,0,6000,False
ananddtyagi-cc-marketplace,claudemarketplaces,plugins,0.0001,0,3799,False
francyjglisboa-agent-skill-creator,claudemarketplaces,plugins,0.0011,0,6000,False
ccplugins-awesome-claude-code-plugins,claudemarketplaces,plugins,0.0007,0,6000,False
hmans-beans,claudemarketplaces,plugins,0.0185,0,6000,False
getsentry-sentry-mcp,claudemarketplaces,plugins,0.0000,0,6000,False
onmax-nuxt-skills,claudemarketplaces,plugins,0.2625,0,6000,False
joelhooks-swarm-tools,claudemarketplaces,plugins,0.0041,0,6000,False
ast-grep-agent-skill,claudemarketplaces,plugins,0.0000,0,6000,False
jasonkneen-kiro,claudemarketplaces,plugins,0.0003,0,6000,False
jetbrains-go-modern-guidelines,claudemarketplaces,plugins,0.0000,0,3716,False
23blocks-os-ai-maestro,claudemarketplaces,plugins,0.0025,0,6000,False
fcakyon-claude-codex-settings,claudemarketplaces,plugins,0.0216,0,6000,False
schpet-linear-cli,claudemarketplaces,plugins,0.0001,0,6000,False
