slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
gdanov-ipo-tracker-plugin,claudemarketplaces,plugins,L1,0.7042,0.0025,0.0193,0.0168,0.5321,2048,False
watzon-claude-code,claudemarketplaces,plugins,L1,0.6397,0.0026,0.0401,0.0129,0.3869,2048,False
tylergibbs1-codewarden,claudemarketplaces,plugins,L1,0.7358,0.0016,0.0030,0.0023,0.1093,2048,False
lightsoft-dev-claude-plugin-for-dev,claudemarketplaces,plugins,L1,0.9607,0.0013,0.0068,0.0038,0.2133,1321,False
cpicon-claude-code-plugins,claudemarketplaces,plugins,L1,0.9739,0.0014,0.0054,0.0029,0.2221,2048,False
bradwindy-writing-xcuitests,claudemarketplaces,plugins,L0,0.5400,0.0013,0.0019,0.0014,0.0792,1495,False
quadralay-webworks-claude-skills,claudemarketplaces,plugins,L1,0.8955,0.0016,0.0099,0.0062,0.2052,2048,False
thc1006-telecom-ops-claude-code-plugins,claudemarketplaces,plugins,L2,0.6047,0.0043,0.0417,0.0329,0.4205,2048,False
hibukki-yonatans-cc-marketplace,claudemarketplaces,plugins,L1,0.8236,0.0017,0.0113,0.0080,0.2689,2048,False
daturkel-dt-cc,claudemarketplaces,plugins,L1,0.9478,0.0012,0.0053,0.0042,0.2097,2048,False
elaraai-east-plugin,claudemarketplaces,plugins,L2,0.7565,0.0063,0.0463,0.0529,0.4366,2048,False
goodsmileduck-goodsmileduck-claude-registry,claudemarketplaces,plugins,L1,0.9654,0.0016,0.0080,0.0032,0.6136,2048,False
nategarelik-game-dev-supercharger,claudemarketplaces,plugins,L1,0.7018,0.0022,0.0291,0.0125,0.3081,2048,False
gaebalai-claude-code-marketplace,claudemarketplaces,plugins,L1,0.6722,0.0022,0.0302,0.0140,0.5650,2048,False
enzannometsuke-lynyx-claude,claudemarketplaces,plugins,L1,0.9515,0.0015,0.0074,0.0038,0.4478,2048,False
quydatsadboy-agent-skill,claudemarketplaces,plugins,L1,0.9096,0.0016,0.0074,0.0031,0.0326,2048,False
zach-source-claude-marketplace,claudemarketplaces,plugins,L1,0.9114,0.0013,0.0037,0.0020,0.1447,1124,False
echoleesong-claude-skills-plugin,claudemarketplaces,plugins,L1,0.6899,0.0023,0.0243,0.0158,0.6109,2048,False
shesha-io-shesha-plugins,claudemarketplaces,plugins,L1,0.6168,0.0015,0.0027,0.0020,0.0611,2048,False
captain-corgi-marketplace,claudemarketplaces,plugins,L0,0.5110,0.0016,0.0021,0.0016,0.0716,2048,False
pluginagentmarketplace-custom-plugin-aspnet-core,claudemarketplaces,plugins,L1,0.8812,0.0017,0.0059,0.0038,0.0962,2048,False
revsystem-claude-code-plugins,claudemarketplaces,plugins,L1,0.9388,0.0015,0.0038,0.0028,0.4418,2048,False
kkhys-claude-code-marketplace,claudemarketplaces,plugins,L1,0.9607,0.0013,0.0061,0.0041,0.4226,2048,False
thiagoedson-claude-frontforge,claudemarketplaces,plugins,L1,0.8755,0.0016,0.0089,0.0053,0.0914,2048,False
siliconagent-silicon-bot,claudemarketplaces,plugins,L1,0.4854,0.0028,0.0372,0.0195,0.4179,2048,False
rubenbranco-wandb-plot-skill,claudemarketplaces,plugins,L1,0.8571,0.0018,0.0123,0.0093,0.4762,2048,False
