slug,source,substrate,heuristic_hit_count,heuristic_flags,patterns,content_len,stars,installs,official_badge,defender_positive
f-prompts.chat,claudemarketplaces,plugins,0,,,166,157647,1,False,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,0,,,171,141890,1,False,False
obra-superpowers,claudemarketplaces,plugins,0,,,74,136990,1,False,False
anthropics-skills,claudemarketplaces,plugins,0,,,34,111395,3,False,False
anthropics-claude-code,claudemarketplaces,plugins,0,,,240,109692,13,False,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,0,,,95,59592,1,False,False
upstash-context7,claudemarketplaces,plugins,0,,,79,51767,1,False,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,0,,,97,51515,107,False,False
gsd-build-get-shit-done,claudemarketplaces,plugins,0,,,125,48255,1,False,False
thedotmack-claude-mem,claudemarketplaces,plugins,0,,,206,45739,1,False,False
payloadcms-payload,claudemarketplaces,plugins,0,,,222,41629,1,False,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,0,,,33,33365,1,False,False
wshobson-agents,claudemarketplaces,plugins,0,,,68,33050,75,False,False
ruvnet-ruflo,claudemarketplaces,plugins,0,,,298,30230,1,False,False
vercel-labs-agent-browser,claudemarketplaces,plugins,0,,,36,27616,1,False,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,0,,,98,26419,1,False,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,0,,,53,24851,1,False,False
davila7-claude-code-templates,claudemarketplaces,plugins,0,,,51,24215,10,False,False
yamadashy-repomix,claudemarketplaces,plugins,0,,,275,23130,3,False,False
gastownhall-beads,claudemarketplaces,plugins,0,,,46,20308,1,False,False
ShoppingTools,lobehub_plugins,plugins,0,,,559,0,0,False,False
seo_assistant,lobehub_plugins,plugins,0,,,525,0,0,False,False
VideoCaptions,lobehub_plugins,plugins,0,,,559,0,0,False,False
WeatherGPT,lobehub_plugins,plugins,0,,,483,0,0,False,False
gitUserRepoStats,lobehub_plugins,plugins,0,,,536,0,0,False,False
questmate,lobehub_plugins,plugins,0,,,556,0,0,False,False
AladinSearchBooks,lobehub_plugins,plugins,0,,,495,0,0,False,False
StockData,lobehub_plugins,plugins,0,,,499,0,0,False,False
SEO,lobehub_plugins,plugins,0,,,461,0,0,False,False
web,lobehub_plugins,plugins,0,,,500,0,0,False,False
Bingsearch-identifier,lobehub_plugins,plugins,0,,,418,0,0,False,False
google-cse,lobehub_plugins,plugins,0,,,469,0,0,False,False
alps-tongyi-image,lobehub_plugins,plugins,0,,,508,0,0,False,False
savvy_trader_ai,lobehub_plugins,plugins,0,,,490,0,0,False,False
search1api,lobehub_plugins,plugins,0,,,459,0,0,False,False
search-engine-serper,lobehub_plugins,plugins,0,,,508,0,0,False,False
calendar-assistant,lobehub_plugins,plugins,0,,,467,0,0,False,False
bilibili,lobehub_plugins,plugins,0,,,599,0,0,False,False
steam,lobehub_plugins,plugins,0,,,441,0,0,False,False
current-datetime-assistant,lobehub_plugins,plugins,0,,,404,0,0,False,False
lackeyjb/playwright-skill,github_plugins,plugins,0,,,159,2464,0,False,False
timescale/pg-aiguide,github_plugins,plugins,0,,,122,1694,0,False,False
alexgreensh/token-optimizer,github_plugins,plugins,0,,,82,541,0,False,False
rsmdt/the-startup,github_plugins,plugins,0,,,79,257,0,False,False
zxkane/aws-skills,github_plugins,plugins,0,,,27,253,0,False,False
yonatangross/orchestkit,github_plugins,plugins,0,,,141,151,0,False,False
smnandre/symfony-ux-skills,github_plugins,plugins,0,,,96,141,0,False,False
serpro69/claude-toolbox,github_plugins,plugins,0,,,201,133,0,False,False
jaechang-hits/SciAgent-Skills,github_plugins,plugins,0,,,178,120,0,False,False
OdradekAI/bundles-forge,github_plugins,plugins,0,,,75,104,0,False,False
quillai-network/quillshield_skills,github_plugins,plugins,0,,,202,98,0,False,False
k1p1l0/claude-telegram-supercharged,github_plugins,plugins,0,,,152,88,0,False,False
techwolf-ai/ai-first-toolkit,github_plugins,plugins,0,,,142,68,0,False,False
kirilxd/claude-tutor,github_plugins,plugins,0,,,157,69,0,False,False
indranilbanerjee/digital-marketing-pro,github_plugins,plugins,0,,,274,61,0,False,False
codenamev/ai-software-architect,github_plugins,plugins,0,,,149,57,0,False,False
wotai-dev/woterclip,github_plugins,plugins,0,,,99,46,0,False,False
xiaobei930/cc-best,github_plugins,plugins,0,,,184,40,0,False,False
shadimarahli/Claude-for-Word-Desktop,github_plugins,plugins,0,,,234,38,0,False,False
beingsmit/technical-product-gtm,github_plugins,plugins,0,,,146,32,0,False,False
Yusuke710/manim-skill,github_plugins,plugins,0,,,159,32,0,False,False
udapy/rust-agentic-skills,github_plugins,plugins,0,,,40,31,0,False,False
MissingPackage/gitgud,github_plugins,plugins,0,,,46,30,0,False,False
3spky5u-oss/HandsOn,github_plugins,plugins,0,,,89,30,0,False,False
hemangjoshi37a/claude-code-frontend-dev,github_plugins,plugins,0,,,201,27,0,False,False
sageox/ox,github_plugins,plugins,0,,,46,26,0,False,False
ForteScarlet/codex-kkp,github_plugins,plugins,0,,,134,25,0,False,False
vibesurf-ai/claude-surf,github_plugins,plugins,0,,,115,24,0,False,False
softaworks/gepetto,github_plugins,plugins,0,,,172,24,0,False,False
OutlineDriven/odin-claude-plugin,github_plugins,plugins,0,,,97,24,0,False,False
kepano-obsidian-skills,claudemarketplaces,plugins,0,,,97,20185,1,False,False
dailydotdev-daily,claudemarketplaces,plugins,0,,,100,19728,2,False,False
othmanadi-planning-with-files,claudemarketplaces,plugins,0,,,122,18126,1,False,False
k-dense-ai-claude-scientific-skills,claudemarketplaces,plugins,0,,,101,17454,1,False,False
jarrodwatts-claude-hud,claudemarketplaces,plugins,0,,,113,17162,1,False,False
voltagent-awesome-claude-code-subagents,claudemarketplaces,plugins,0,,,101,16426,10,False,False
pbakaus-impeccable,claudemarketplaces,plugins,0,,,64,16178,1,False,False
muratcankoylan-agent-skills-for-context-engineering,claudemarketplaces,plugins,0,,,225,14774,5,False,False
jimliu-baoyu-skills,claudemarketplaces,plugins,0,,,58,13349,3,False,False
everyinc-compound-engineering-plugin,claudemarketplaces,plugins,0,,,67,13272,2,False,False
anthropics-knowledge-work-plugins,claudemarketplaces,plugins,0,,,98,10938,40,False,False
huggingface-skills,claudemarketplaces,plugins,0,,,56,10064,12,False,False
alirezarezvani-claude-skills,claudemarketplaces,plugins,0,,,173,9694,31,False,False
mcp-use-mcp-use,claudemarketplaces,plugins,0,,,97,9684,3,False,False
redpanda-data-connect,claudemarketplaces,plugins,0,,,50,8625,1,False,False
